,haber,kategori
0,luis enrique sampiyonlar ligini kizi icin kazandi,futbol
1,3 uluslararasi aile sempozyumu aile kurumuna kuresel tehditler masaya yatirildi,yasam
2,cumhurbaskani erdogandan hava kuvvetleri komutanliginin kurulus yil donumune mesaj,gundem
3,yatirimlara yeni destek hamlesi turkiye genelinde donusum basliyor,ekonomi
4,simone inzaghi hayal kirikligina ugradik,futbol
5,kirsehirde kadin kaynakcilar yetisiyor,ic-haber
6,luis enrique takimim harikaydi,futbol
7,fenerbahce kafilesi anitkabiri ziyaret etti,basketbol
8,israil insani yardim almaya calisan filistinlilere saldirdi,dunya
9,fransa acikta novak djokovic ve coco gauff 4 tura cikti,tenis
10,galatasaray sutopu takimi nordic lig sampiyonu oldu,futbol
11,milli basketbolculardan litvanya maci degerlendirmesi,basketbol
12,sihirli annemin cileki zeynep ozkaya evlendi,magazin
13,istanbul trafigine nefes aldiracak akilli yol donemi basliyor,bilgi
14,donald trumptan macrona evlilik tavsiyesi,dunya
15,bodrum fk besiktas macinin muhtemel 11leri,futbol
16,bayramda kopru otoyol ve toplu ulasim ucretsiz oldu,gundem
17,infaz duzenlemesi adalet komisyonundan gecti,gundem
18,misir gazzedeki savasi sona erdirmek icin baski yapiyoruz,dunya
19,turkiyeden nijeryadaki selde olenler icin taziye,gundem
20,turkiyenin savunma sanayii hamleleri yunanistanda bir kez daha gundem oldu,gundem
21,paris st germainin devler ligi zaferinin ardindan paris sokaklari karisti,dunya
22,paris saint germainin tarihi gecesi,futbol
23,hakan calhanoglu tarihe gecti,futbol
24,abdden irana nukleer anlasma teklifi,dunya
25,hamastan abdnin ateskes teklifine yanit,dunya
26,uefa sampiyonlar liginde dev final psg inter macinin ilk 11leri,futbol
27,fenerbahce uzatmalarda turk telekoma yenildi,basketbol
28,abd hamasin ateskes teklifine cevabi kabul edilemez,dunya
29,vladimir zelensky ruslarin istanbulda ne yapmayi planladigina dair net bir bilgi yok,dunya
30,ibrahim kursat daloglu insallah yeni sezona daha iyi sartlarla gireriz,futbol
31,fenerbahceli taraftarlar yonetimi protesto etmek icin yurudu,futbol
32,izmirde orman yangini 11610,ic-haber
33,turkiye iran sinirinda 10 kilometrelik tir kuyrugu,ic-haber
34,mustafa alper avci bu benim son macimdi,futbol
35,joao pereira galibiyetle bitirmis olmak bizim icin cok onemliydi,futbol
36,turkiye ile birlesik krallik arasinda guvenlik istisareleri gerceklestirildi,gundem
37,riza calimbay bu kadroyla yola devam edersek isler daha da kotu olabilir,futbol
38,sakaryada trafik kazasi cocuk otomobilden yola savruldu,ic-haber
39,rihannanin babasi hayatini kaybetti,magazin
40,a milli kadin basketbol takimi litvanyayi devirdi,basketbol
41,adana demirspor gaziantep fk macinda kazanan yok,futbol
42,alanyaspor sivasspor karsisinda iki golle guldu,futbol
43,osmaniyede ormanlara giris 5 ay yasaklandi,ic-haber
44,cumhurbaskani erdogan somalili mevkidasiyla gorustu 96707,gundem
45,enerji bakani duyurdu gabardaki petrol uretiminden her 2 milyar dolar para geliyor,ekonomi
46,al duhail hakim ziyechle yollari ayirdi,futbol
47,meteoroloji uyardi istanbul dahil bircok kentte saganak etkili olacak,yasam
48,amed sportif faaliyetlerde burc baysal yeniden baskan secildi,futbol
49,jose mourinho bu sezon hayal kirikligi oldu,futbol
50,besiktas kafilesi bodruma geldi,futbol
51,bursasporun borcu azaldi,futbol
52,recep ucar kulubumuz adina korkulu ruya gormeden bitirilen bir sezon,futbol
